key	scope	area	screen	ru	en	status	note
arena.catalog.note	mvp	arena		Оплата даёт только доступ к данным. Правильный ответ, буст оценки и повышенный риск купить нельзя.	Payment buys data access only. Correct answers, score boosts and extra risk are not for sale.	ok	
arena.skill.type	mvp	arena		ТИП	TYPE	ok	
arena.skill.mastery	mvp	arena		МАСТЕРСТВО	MASTERY	ok	
arena.skill.used	mvp	arena		ПРИМЕНЕНА	APPLIED	ok	
arena.skill.times	mvp	arena		РАЗ	TIMES	ok	
arena.skill.avgQuality	mvp	arena		СРЕДНЕЕ КАЧЕСТВО	AVG QUALITY	ok	
arena.skill.studyIn	mvp	arena		ГДЕ ИЗУЧАЕТСЯ	STUDIED IN	ok	
arena.skill.toAcademy	mvp	arena		В Академию	To Academy	ok	
arena.skill.apply	mvp	arena		Применить	Apply	ok	
arena.skill.kindName.reading	mvp	arena		ЧТЕНИЕ	READING	ok	
arena.skill.kindName.decision	mvp	arena		РЕШЕНИЕ	DECISION	ok	
arena.skill.kindName.protection	mvp	arena		ЗАЩИТА	PROTECTION	ok	
arena.skill.cardOf.reading	mvp	arena		КАРТА ЧТЕНИЯ	READING CARD	ok	
arena.skill.cardOf.decision	mvp	arena		КАРТА РЕШЕНИЯ	DECISION CARD	ok	
arena.skill.cardOf.protection	mvp	arena		КАРТА ЗАЩИТЫ	PROTECTION CARD	ok	
arena.confirm.selected	mvp	arena		ВЫБРАНО	SELECTED	ok	
arena.confirm.changeable	mvp	arena		можно изменить до фиксации	can be changed before the lock	ok	
arena.confirm.change	mvp	arena		Изменить	Change	ok	
arena.confirm.lockNote	mvp	arena		Фиксация необратима: дальше — раскрытие.	Locking is final: the reveal comes next.	ok	REVIEW: прототип 4.7 — «После фиксации продолжение будет раскрыто и изменения невозможны.»
arena.reveal.layerFact	mvp	arena		СЛОЙ 1 · ФАКТ РЫНКА	LAYER 1 · MARKET FACT	ok	
arena.reveal.layerConsequence	mvp	arena		СЛОЙ 2 · ПОСЛЕДСТВИЕ ТВОЕГО ПОВЕДЕНИЯ	LAYER 2 · CONSEQUENCE OF YOUR BEHAVIOUR	ok	
arena.reveal.speed	mvp	arena		СКОРОСТЬ	SPEED	ok	
arena.reveal.replay	mvp	arena		▶ ПОВТОРИТЬ	▶ REPLAY	ok	INFO: «▶» — заменить SVG-иконкой в коде (значение текстом)
arena.reveal.frame	mvp	arena		КАДР	FRAME	ok	
arena.volume.book	mvp	arena		СТРУКТУРА ЛИКВИДНОСТИ	LIQUIDITY STRUCTURE	ok	
arena.volume.asks	mvp	arena		ASKS	ASKS	ok	
arena.volume.bids	mvp	arena		BIDS	BIDS	ok	
arena.volume.wall	mvp	arena		КИТОВАЯ СТЕНА	WHALE WALL	ok	
arena.volume.wallBody	mvp	arena		выше уровня пробоя	above the breakout level	ok	
arena.volume.spread	mvp	arena		СПРЕД	SPREAD	ok	
arena.volume.breakVol	mvp	arena		ОБЪЁМ НА ПРОБОЕ	BREAKOUT VOLUME	ok	
arena.volume.toAvg	mvp	arena		К СРЕДНЕМУ	VS AVERAGE	ok	
verdict.step	mvp	verdict		ШАГ	STEP	ok	
verdict.nextStep	mvp	verdict		ДАЛЕЕ	NEXT	ok	
verdict.breakdown	mvp	verdict		РАЗБОР: ФАКТ → ЛОГИКА → ПРАВИЛО	BREAKDOWN: FACT → LOGIC → RULE	ok	
verdict.logic	mvp	verdict		ЛОГИКА	LOGIC	ok	
verdict.sources	mvp	verdict		ИСТОЧНИКИ И МЕТОДИКА	SOURCES & METHOD	ok	
verdict.dataset	mvp	verdict		ДАТАСЕТ	DATASET	ok	
verdict.content	mvp	verdict		КОНТЕНТ	CONTENT	ok	
verdict.method	mvp	verdict		МЕТОДИКА	METHOD	ok	
verdict.methodBody	mvp	verdict		Исторический отрезок зафиксирован заранее: датасет, точка t₀ и продолжение проверяются по хэшу. Оценка — по логике, риску и дисциплине, а не по направлению цены.	The historical slice is fixed in advance: dataset, t₀ and continuation are hash-checked. Scoring rewards logic, risk and discipline — not price direction.	ok	
verdict.hash	mvp	verdict		ХЭШ БУДУЩЕГО	FUTURE HASH	ok	
verdict.dim.context	mvp	verdict		КОНТЕКСТ	CONTEXT	ok	
verdict.dim.evidence	mvp	verdict		ДОКАЗАТЕЛЬСТВА	EVIDENCE	ok	
verdict.dim.action	mvp	verdict		ДЕЙСТВИЕ	ACTION	ok	
verdict.dim.risk	mvp	verdict		РИСК	RISK	ok	
verdict.dim.discipline	mvp	verdict		ДИСЦИПЛИНА	DISCIPLINE	ok	
scen.mvp-001.tf	mvp	scen		15M	15M	ok	
scen.mvp-002.tf	mvp	scen		5M	5M	ok	
skill.risk-first.short	mvp	skill		СНАЧАЛА РИСК	RISK FIRST	ok	
skill.no-confirm.short	mvp	skill		БЕЗ ОБЪЁМА — НЕТ	NO VOLUME — NO	ok	REVIEW: прототип 4.2 — «НЕТ ОБЪЁМА — НЕТ СДЕЛКИ»
skill.htf.short	mvp	skill		СТАРШИЙ TF	HIGHER TF	ok	
skill.news-noise.short	mvp	skill		НОВОСТЬ ≠ СИГНАЛ	NEWS ≠ SIGNAL	ok	REVIEW: прототип 4.3/4.9 — «НОВОСТЬ — НЕ СИГНАЛ» (тире вместо ≠)
skill.no-average.short	mvp	skill		НЕ УСРЕДНЯЙ	NEVER AVERAGE	ok	
skill.flat-ok.short	mvp	skill		ВНЕ РЫНКА	STAY FLAT	ok	
skill.invalidate.short	mvp	skill		ОТМЕНА ЗАРАНЕЕ	INVALIDATE EARLY	ok	
skill.plan-profit.short	mvp	skill		ПЛАН > ПРИБЫЛИ	PLAN > PROFIT	ok	REVIEW: прототип 4.9 — «ПЛАН ВАЖНЕЕ ПРИБЫЛИ» (слова вместо >)
app.brand	mvp	app	1.1	SIGNAL ARENA		draft	Вордмарк; сейчас захардкожен в PreloadScene
app.updating	mvp	app	1.1	Обновление датасета		draft	Состояние 1.1
app.datasetLine	mvp	app	1.1	Датасет {v} · хэш проверен		draft	{v}: версия датасета, подставляется в коде
app.boot.loading	mvp	app	1.1	Загрузка		draft	
app.boot.netErr	mvp	app	1.1	Ошибка сети		draft	Состояние
auth.step	mvp	auth	1.2	ШАГ 1 ИЗ 3 · ДОСТУП		draft	
auth.title	mvp	auth	1.2	ВХОД БЕСПЛАТНЫЙ		draft	
auth.sub	mvp	auth	1.2	Выход обычно дороже. Но здесь он тоже бесплатный.		draft	
auth.apple	mvp	auth	1.2	Продолжить с Apple		draft	Иконка — SVG, в тексте её нет
auth.google	mvp	auth	1.2	Продолжить с Google		draft	Иконка — SVG, в тексте её нет
auth.or	mvp	auth	1.2	ИЛИ		draft	
auth.guest	mvp	auth	1.2	Играть без аккаунта · 3 сценария		draft	
auth.consent	mvp	auth	1.2	Продолжая, вы соглашаетесь с тем, что игра — обучающий тренажёр на исторических данных, а не инвестиционная рекомендация.		draft	
auth.docs	mvp	auth	1.2	Условия · Конфиденциальность		draft	Ссылки на документы
auth.returnTitle	mvp	auth	1.2			todo	Состояние «Возврат»: заголовок для вернувшегося игрока
auth.returnSub	mvp	auth	1.2			todo	Состояние «Возврат»: подзаголовок про сохранённый прогресс
auth.upgradeTitle	mvp	auth	1.2			todo	«Гость → апгрейд»: заголовок нуджа после 3 сценариев
auth.upgradeBody	mvp	auth	1.2			todo	«Гость → апгрейд»: тело нуджа
auth.upgradeCta	mvp	auth	1.2			todo	«Гость → апгрейд»: кнопка
calib.step	mvp	calib	1.3	ШАГ 2 ИЗ 3 КАЛИБРОВКА		draft	Стрелка «назад» — SVG-кнопка, в тексте её нет
calib.wipeTitle	mvp	calib	1.3	СКОЛЬКО РАЗ ТЕБЯ УЖЕ ЛИКВИДИРОВАЛИ?		draft	
calib.wipeSub	mvp	calib	1.3	От ответа не зависит ни оценка, ни доступ. Зависит только длина объяснений.		draft	
calib.wipe.0	mvp	calib	1.3	Ни разу. Я тут первый день		draft	REVIEW: в прототипе 1.3 — «Ни раза» (опечатка)
calib.wipe.1	mvp	calib	1.3	Пару раз. Запомнилось		draft	
calib.wipe.2	mvp	calib	1.3	Регулярно. Ищу систему		draft	
calib.wipe.3	mvp	calib	1.3	Торгую профессионально		draft	
calib.focusTitle	mvp	calib	1.3	ЧТО ТРЕНИРУЕШЬ В ПЕРВУЮ ОЧЕРЕДЬ		draft	Варианты — calib.topic.* (свой набор, не arena.mode.focus.*)
calib.topic.entries	mvp	calib	1.3	Входы		draft	
calib.topic.hold	mvp	calib	1.3	Удержание		draft	
calib.topic.psycho	mvp	calib	1.3	Психология		draft	
calib.topic.news	mvp	calib	1.3	Шум и новости		draft	
calib.topic.web3	mvp	calib	1.3	Web3-риски		draft	
calib.skip	mvp	calib	1.3	Пропустить		draft	
calib.next	mvp	calib	1.3	Дальше		draft	
calib.limitToast	mvp	calib	1.3	Лимит {n} достигнут		draft	
ob.title	mvp	ob	2.1	ОНБОРДИНГ		draft	Крестик закрытия — SVG-кнопка; мой текст
ob.hint	mvp	ob	2.1	ПОДСКАЗКА		draft	Рубрика карточки-подсказки; мой текст
ob.s1.hint	mvp	ob	2.1	Сначала читаешь ситуацию. Потом всё остальное.		draft	; мой текст
ob.s2.hint	mvp	ob	2.2	График обрезан на t₀. Будущее зафиксировано заранее.		draft	; мой текст
ob.s3.hint	mvp	ob	2.3	Второй источник может спорить с первым.		draft	; мой текст
ob.s4.hint	mvp	ob	2.4	Карта не даёт ответ. Она даёт вопрос.		draft	; мой текст
ob.s5.hint	mvp	ob	2.5	Четыре варианта. Не входить — тоже решение.		draft	; мой текст
ob.s6.hint	mvp	ob	2.6	Убыток может получить 100. Прибыль может получить 20.		draft	; мой текст
ob.s7.hint	mvp	ob	2.7	Дополнительный шаг бывает не всегда. Это норма.		draft	; мой текст
ob.s8.hint	mvp	ob	2.8	Угрозы — давление, а не враги с HP.		draft	; мой текст
ob.s9.hint	mvp	ob	2.9	Правило говорит, за что тебя оценят.		draft	; мой текст
ob.s10.hint	mvp	ob	2.10	Каркас открыт полностью. Дальше будет только тише и сложнее.		draft	; мой текст
ob.s1.title	mvp	ob	2.1			todo	Короткая подпись шага для прогресса, напр. СИТУАЦИЯ
ob.s2.title	mvp	ob	2.2			todo	Короткая подпись шага для прогресса, напр. ГРАФИК
ob.s3.title	mvp	ob	2.3			todo	Короткая подпись шага для прогресса, напр. ИСТОЧНИКИ
ob.s4.title	mvp	ob	2.4			todo	Короткая подпись шага для прогресса, напр. КАРТА
ob.s5.title	mvp	ob	2.5			todo	Короткая подпись шага для прогресса, напр. РЕШЕНИЕ
ob.s6.title	mvp	ob	2.6			todo	Короткая подпись шага для прогресса, напр. РАЗБОР
ob.s7.title	mvp	ob	2.7			todo	Короткая подпись шага для прогресса, напр. ШАГ 2
ob.s8.title	mvp	ob	2.8			todo	Короткая подпись шага для прогресса, напр. УГРОЗЫ
ob.s9.title	mvp	ob	2.9			todo	Короткая подпись шага для прогресса, напр. ПРАВИЛО
ob.s10.title	mvp	ob	2.10			todo	Короткая подпись шага для прогресса, напр. КАРКАС
ob.skip	mvp	ob	2.1	Пропустить объяснения		draft	; мой текст
ob.toArena	mvp	ob	2.10	В Практику		draft	Финальный CTA шага 10; мой текст
ob.next	mvp	ob	2.1	Дальше		draft	; мой текст
ob.noScore	mvp	ob	2.1	Без оценки и без штрафов до шага 6		draft	; мой текст
home.hero	mvp	home	3.1	СЕГОДНЯ РЫНОК СНОВА ПЕРЕСМАТРИВАЕТ РЕАЛЬНОСТЬ.		draft	Ротация из контент-пака: нужно 7+ вариантов, ключ один
home.streak	mvp	home	3.1	Серия {days} · качество решений за неделю {q} / 100		draft	{days}: «7 дней» с плюрализацией (см. units.day); {q}: число
home.scenarioOf	mvp	home	3.1	СЦЕНАРИЙ {n}/{total}		draft	Компонуется в коде
home.seriesLeft	mvp	home	3.1	Правило: {rule} · осталось {n} сценария		draft	{rule}: название протокола; {n}: плюрализуется (units.scenario)
home.seriesOf	mvp	home	3.1	Серия из {n} · {topic}		draft	
home.more	mvp	home	3.1	Дальше →		draft	
home.modes	mvp	home	3.1	РЕЖИМЫ		draft	
home.mode.arena.sub	mvp	home	3.1	сценарии и решения		draft	Заголовок — nav.arena
home.mode.academy.sub	mvp	home	3.1	теория → практика		draft	Заголовок — nav.academy
home.mode.threats.sub	mvp	home	3.1	{n} из {total} угроз		draft	Заголовок — nav.bestiary
home.mode.journal.sub	mvp	home	3.1	{n} паттерна в работе		draft	Заголовок — home.mode.journal.title; плюрализуется
home.mode.journal.title	mvp	home	3.1	ЖУРНАЛ		draft	Короткое имя в сетке режимов; полное — journal.title
home.mode.tourn.sub	mvp	home	3.1	окно закроется {d}		draft	Заголовок — tournament.title; {d}: «2 д» (units.time)
home.mode.market.sub	mvp	home	3.1	только косметика		draft	Заголовок — market.title
home.daily.lesson	mvp	home	3.1	Урок дня · {title}		draft	{title}: название урока
home.daily.lessonMeta	mvp	home	3.1	{dur} · +{xp} XP		draft	{dur}: «60–90 сек»; {xp}: число
home.daily.ready	mvp	home	3.1	ГОТОВ		draft	Статус карточки
home.daily.fix	mvp	home	3.1	Исправление · {code}		draft	{code}: код паттерна, напр. E-007
home.daily.fixMeta	mvp	home	3.1	{title} · {done}/{total}		draft	
home.daily.active	mvp	home	3.1	АКТИВНА		draft	Статус карточки
home.daily.tournMeta	mvp	home	3.1	{done} из {total} сценариев сдано		draft	
home.daily.tournTitle	mvp	home	3.1	Турнир · {name}		draft	
home.footnote	mvp	home	3.1	Не финрекомендация · исторические ситуации · будущее зафиксировано		draft	
home.first.title	mvp	home	3.1			todo	Состояние «Первый вход»: заголовок hero-блока
home.first.body	mvp	home	3.1			todo	Состояние «Первый вход»: подзаголовок
home.streakRisk	mvp	home	3.1	Серия сгорит через {h} — добей урок дня.		draft	Мой текст; {h}: «5 ч» (units.time)
home.paused	mvp	home	3.1	Сессия на паузе		draft	Состояние; кнопка возврата — home.resume
home.streakDanger	mvp	home	3.1	Серия в опасности		draft	Состояние
home.allDone	mvp	home	3.1	На сегодня всё. Архив подождёт до завтра.		draft	Мой текст; состояние «Всё выполнено»
notif.title	mvp	notif	3.2	УВЕДОМЛЕНИЯ		draft	Шестерёнка — SVG-кнопка
notif.newCount	mvp	notif	3.2	{n} НОВЫХ		draft	Плюрализуется: 1 НОВОЕ / 3 НОВЫХ
notif.tab.all	mvp	notif	3.2	ВСЕ		draft	
notif.tab.progress	mvp	notif	3.2	ПРОГРЕСС		draft	
notif.tab.tournaments	mvp	notif	3.2	ТУРНИРЫ		draft	
notif.tab.system	mvp	notif	3.2	СИСТЕМА		draft	
notif.group.new	mvp	notif	3.2	НОВОЕ		draft	
notif.group.earlier	mvp	notif	3.2	РАНЬШЕ		draft	
notif.evt.chapterDone.title	mvp	notif	3.2	Глава {n} закрыта		draft	
notif.evt.chapterDone.body	mvp	notif	3.2	+{coins} монет и новая угроза в списке угроз		draft	{coins} плюрализуется (units.coin)
notif.evt.tournWindow.title	mvp	notif	3.2	Окно турнира закроется		draft	
notif.evt.tournWindow.body	mvp	notif	3.2	{name} · сдано {done} из {total}		draft	
notif.evt.patternRepeat.title	mvp	notif	3.2	Паттерн повторился {n}-й раз		draft	
notif.evt.patternRepeat.body	mvp	notif	3.2	{code} · {title}		draft	
notif.evt.newSkill.title	mvp	notif	3.2	Новая карта навыка		draft	
notif.evt.newSkill.body	mvp	notif	3.2	«{title}»		draft	
notif.evt.dataset.title	mvp	notif	3.2	Датасет обновлён до v{v}		draft	
notif.evt.dataset.body	mvp	notif	3.2	{n} ситуаций · хеши пересчитаны		draft	
notif.evt.weekDone.title	mvp	notif	3.2	Неделя {n} завершена		draft	
notif.evt.weekDone.body	mvp	notif	3.2	Место {place} из {total} · качество {q}		draft	
notif.empty	mvp	notif	3.2	Пока тихо		draft	Мой текст; состояние «Пусто»
notif.emptySub	mvp	notif	3.2	Учебные события появятся здесь: прогресс, окна турниров, разборы.		draft	Мой текст
notif.allRead	mvp	notif	3.2	Всё прочитано		draft	Мой текст; состояние «Всё прочитано»
notif.hasNew	mvp	notif	3.2	Есть новые		draft	Состояние
search.title	mvp	search	3.3	ПОИСК ПО ВСЕМУ ПРОДУКТУ		draft	Крестик — SVG-кнопка
search.placeholder	mvp	search	3.3	Главы, угрозы, карты, правила…		draft	Мой текст; плейсхолдер поля
search.tab.all	mvp	search	3.3	ВСЕ		draft	Счётчики компонуются в коде
search.tab.chapters	mvp	search	3.3	ГЛАВЫ		draft	
search.tab.threats	mvp	search	3.3	УГРОЗЫ		draft	
search.tab.cards	mvp	search	3.3	КАРТЫ		draft	
search.tab.journal	mvp	search	3.3	ЖУРНАЛ		draft	
search.lessonOf	mvp	search	3.3	урок {n} из {total}		draft	
search.skillMeta	mvp	search	3.3	карта навыка · мастерство {n}/3		draft	
search.ruleRef	mvp	search	3.3	Правило · {title}		draft	
search.ruleUsed	mvp	search	3.3	применён в {n} сценариях		draft	Плюрализуется (units.scenario)
search.journalRef	mvp	search	3.3	Запись журнала · {code}		draft	
search.journalMeta	mvp	search	3.3	{n} повторов · исправление		draft	Плюрализуется
search.hint	mvp	search	3.3	Введи запрос: тема, угроза, карта или правило.		draft	Мой текст; состояние «Пустой запрос»
search.none	mvp	search	3.3	Ничего не найдено		draft	Мой текст
search.noneSub	mvp	search	3.3	Попробуй короче: «пробой», «объём», «стоп».		draft	Мой текст
search.hidden	mvp	search	3.3	Скрыто античитом		draft	Античит §15: идентификаторы скрыты до завершения
search.fair	mvp	search	3.3	Идентификаторы активного сценария в поиске скрыты до завершения — античит §15.		draft	
search.hasResults	mvp	search	3.3	Есть результаты		draft	Состояние
search.threatRow	mvp	search	3.3	{cat} · стадия {n}		draft	{cat}: bestiary.catGroup.* строчными в коде
search.silhouetteRow	mvp	search	3.3	{cat} · силуэт		draft	{cat}: bestiary.catGroup.* строчными в коде
ob.zoneEmpty	mvp	ob	1.3	ЗОНА БРАУЗЕРА ЗАРЕЗЕРВИРОВАНА, НО ПУСТА		draft	
ob.active	mvp	ob	1.3	Активный шаг		draft	Состояние
ob.hidden	mvp	ob	1.3	Объяснения скрыты		draft	Состояние
ob.skipped	mvp	ob	1.3	Шаг пропущен		draft	Состояние
boot.legal.add	mvp	boot	1.1	Игра не даёт торговых сигналов и не обещает дохода. Внутригровые ресурсы не выводятся.		draft	
home.patTitle	mvp	home	3.1	ПАТТЕРНЫ		draft	
calib.focusMax	mvp	calib	1.3	МАКС {n}		draft	
arena.mode.emptyTitle	mvp	arena	4.1	Нет новых сценариев		draft	
arena.mode.emptyBody	mvp	arena	4.1	Новых ситуаций нет. Повтори старые — качество важнее количества.		draft	Мой текст
arena.mode.st.free	mvp	arena	4.1	Свободная		draft	Состояние; полное название — arena.mode.format.free
arena.mode.st.series	mvp	arena	4.1	Серия		draft	Состояние; полное название — arena.mode.format.series
arena.brief.of	mvp	arena	4.2	СЦЕНАРИЙ {n}/{total}		draft	Компонуется в коде
arena.brief.hidden	mvp	arena	4.2	СКРЫТО ДО ОТВЕТА		draft	
arena.brief.hiddenList	mvp	arena	4.2	Точная дата · инструмент · оригинальные заголовки · уникальные цифры · ссылки на источники		draft	
arena.brief.criteria	mvp	arena	4.2	ЧТО ОЦЕНИВАЕТСЯ		draft	Далее 5 измерений (verdict.dim.*)
arena.brief.tournHidden	mvp	arena	4.2	Турнирный (таймер скрыт)		draft	
arena.brief.fixMode	mvp	arena	4.2	С активной fix-миссией		draft	Состояние
arena.archiveSealed	mvp	arena	4.2	АРХИВ · t₀ ЗАФИКСИРОВАН		draft	
arena.decisionsHint	mvp	arena	4.3	ВСЕГДА 4 · ПОСТОЯННОЕ МЕСТО		draft	Подпись секции решений
arena.volume.missing	mvp	arena	4.4	Данные недоступны в архиве		draft	Состояние вкладки
arena.volume.marked	mvp	arena	4.4	Аномалия отмечена игроком		draft	Состояние «Аномалия отмечена игроком»
arena.sel.none	mvp	arena	4.3	Ничего не выбрано		draft	
arena.sel.card	mvp	arena	4.3	Карта применена		draft	
arena.sel.picked	mvp	arena	4.3	Вариант выбран		draft	
arena.sel.locked	mvp	arena	4.3	Ответ зафиксирован		draft	
arena.liveThreat	mvp	arena	4.3	Активная угроза · уровень {n}		draft	
arena.threatTag	mvp	arena	4.3	УГРОЗА		draft	Чип активной угрозы
arena.snapshot	mvp	arena	4.4	ВКЛАДКА {tab} · КРАТКИЙ СЛЕПОК		draft	{tab}: название вкладки
arena.catalog.desc.chart	mvp	arena	4.5	График и структура рынка		draft	
arena.catalog.desc.higher-tf	mvp	arena	4.5	Старшие таймфреймы		draft	
arena.catalog.desc.volume	mvp	arena	4.5	Объём и ликвидность		draft	
arena.catalog.desc.news	mvp	arena	4.5	Новостной фон		draft	
arena.catalog.desc.social	mvp	arena	4.5	Социальный сентимент		draft	
arena.catalog.desc.macro	mvp	arena	4.5	Макроконтекст		draft	
arena.catalog.desc.onchain	mvp	arena	4.5	On-chain и Web3-данные		draft	
arena.catalog.desc.position	mvp	arena	4.5	История текущей позиции		draft	
arena.catalog.desc.journal	mvp	arena	4.5	Мои правила и журнал		draft	
arena.catalog.noCoins	mvp	arena	4.5	Не хватает монет		draft	Состояние «Недостаточно монет»
arena.catalog.locked	mvp	arena	4.5	Откроется на уровне {n}		draft	
arena.catalog.allOpen	mvp	arena	4.5	Всё открыто		draft	Состояние
arena.catalog.somePaid	mvp	arena	4.5	Есть платные		draft	Состояние
arena.catalog.blocked	mvp	arena	4.5	Заблокировано уровнем		draft	Состояние
arena.tabsAvail	mvp	arena	4.5	{n} ДОСТУПНА		draft	Плюрализуется: 1 доступна / 2 доступны
arena.skill.locked	mvp	arena	4.6	Закрыта		draft	Подпись строки при уровне-локе
arena.skill.lockedCost	mvp	arena	4.6	{n} монет		draft	Плюрализуется (units.coin)
arena.skill.maxed	mvp	arena	4.6	МАСТЕРСТВО МАКС		draft	
arena.skill.banned	mvp	arena	4.6	Недоступна в этом правиле		draft	
arena.skill.opened	mvp	arena	4.6	Открыта		draft	Состояние
arena.confirm.lock	mvp	arena	4.7	Зафиксировать решение		draft	
arena.confirm.reselect	mvp	arena	4.7	Повторный выбор		draft	Состояние
arena.confirm.locked	mvp	arena	4.7	Зафиксировано		draft	Состояние
arena.step2.of	mvp	arena	4.8	ШАГ {n} ИЗ {total}		draft	
arena.step2.affects	mvp	arena	4.8	влияет на блок «{dim}»		draft	{dim}: название измерения строчными
arena.step2.confirm	mvp	arena	4.8	Подтвердить и раскрыть рынок		draft	Кнопка явного подтверждения (сейчас тап = выбор)
arena.step2.blocked	mvp	arena	4.8	Заблокировано правилом		draft	
arena.step2.title	mvp	arena	4.8	ДОПОЛНИТЕЛЬНЫЙ ШАГ		draft	
arena.step2.none	mvp	arena	4.8	Условия не заданы		draft	
arena.intel.source	mvp	arena	4.9	ИСТОЧНИК {letter}		draft	{letter}: A/B/C
arena.intel.trust	mvp	arena	4.9	Надёжность {n}%		draft	
arena.inpos.newsHit	mvp	arena	4.9	НОВОСТЬ ПРИШЛА ПОСЛЕ ВХОДА. КАК ВСЕГДА.		draft	Заголовок фазы; в будущем — scen.*.midnews.title
arena.inpos.changed	mvp	arena	4.9	План был. Контекст изменился. План об этом не предупреждали.		draft	Подзаголовок фазы; в будущем — scen.*.midnews.body
arena.intel.evt.news	mvp	arena	4.9	Новость		draft	Тип события в ленте
arena.intel.evt.move	mvp	arena	4.9	Резкое движение		draft	Тип события в ленте
arena.intel.evt.silence	mvp	arena	4.9	Тишина		draft	Тип события в ленте
arena.threatsLive	mvp	arena	4.9	{n} угрозы активны		draft	Капитализация и плюрализация — в коде
arena.reveal.title	mvp	arena	4.10	РАСКРЫТИЕ		draft	
arena.reveal.opened	mvp	arena	4.10	ПРОДОЛЖЕНИЕ РАСКРЫТО		draft	
arena.reveal.playing	mvp	arena	4.10	Анимация идёт		draft	
arena.reveal.noAnim	mvp	arena	4.10	Анимация отключена в настройках		draft	
arena.reveal.toVerdict	mvp	arena	4.10	К оценке качества решения		draft	Кнопка перехода к слою 3
arena.reveal.factOf	mvp	arena	4.10	ФАКТ {n} ИЗ {total}		draft	Переиспользуется в 4.11
arena.reveal.t0	mvp	arena	4.10	t₀ · точка решения		draft	Подпись маркера на графике
arena.reveal.action	mvp	arena	4.10	ДЕЙСТВИЕ		draft	
arena.reveal.outcome	mvp	arena	4.10	ИСХОД РЫНКА		draft	Значение — контент (напр. «Ложный пробой»)
arena.reveal.sealed	mvp	arena	4.10	Продолжение было зафиксировано до твоего ответа. Хэш совпадает — данные не подменены.		draft	
arena.reveal.paused	mvp	arena	4.10	Пауза		draft	
arena.reveal.done	mvp	arena	4.10	Завершено		draft	
verdict.rewardLine	mvp	verdict	4.11	+{xp} XP · +{coins} МОНЕТ · СЕРИЯ {days}		draft	{days} плюрализуется (units.day)
verdict.criteria	mvp	verdict	4.11	КРИТЕРИИ		draft	
verdict.weights	mvp	verdict	4.11	ВЕСА ИЗ БРИФИНГА		draft	
verdict.lost	mvp	verdict	4.11	ГДЕ ПОТЕРЯНО		draft	
verdict.loss.repeat	mvp	verdict	4.11	Повтор № {n} · тег {code}		draft	
verdict.loss.fix	mvp	verdict	4.11	FIX		draft	Кнопка перехода к исправлению
verdict.logged	mvp	verdict	4.11	ЗАПИСАНО В ЖУРНАЛ		draft	
verdict.skillUp	mvp	verdict	4.11	КАРТА УКРЕПЛЕНА		draft	
verdict.quality	mvp	verdict	4.11	КАЧЕСТВО РЕШЕНИЯ		draft	
verdict.band.highName	mvp	verdict	4.11	Высокая оценка		draft	
verdict.band.midName	mvp	verdict	4.11	Средняя		draft	
verdict.band.lowName	mvp	verdict	4.11	Низкая		draft	
verdict.band.high	mvp	verdict	4.11	РЕШЕНИЕ, С КОТОРЫМ МОЖНО ЖИТЬ		draft	
verdict.band.highSub	mvp	verdict	4.11	Рынок шёл не туда, куда ты думал. Решение от этого не стало хуже.		draft	
verdict.band.mid	mvp	verdict	4.11			todo	Заголовок средней оценки
verdict.band.midSub	mvp	verdict	4.11			todo	Подзаголовок средней оценки
verdict.band.low	mvp	verdict	4.11			todo	Заголовок низкой оценки
verdict.band.lowSub	mvp	verdict	4.11			todo	Подзаголовок низкой оценки
verdict.dimName.context	mvp	verdict	4.11	Учёт контекста		draft	Длинное имя измерения (короткое — verdict.dim.*)
verdict.dimName.evidence	mvp	verdict	4.11	Работа с доказательствами		draft	
verdict.dimName.action	mvp	verdict	4.11	Выбор действия		draft	
verdict.dimName.risk	mvp	verdict	4.11	Управление риском		draft	
verdict.dimName.discipline	mvp	verdict	4.11	Дисциплина		draft	
verdict.carryRule	mvp	verdict	4.11	ПЕРЕНОСИМОЕ ПРАВИЛО		draft	
verdict.act.review	mvp	verdict	4.11	Разбор		draft	Сетка действий 2×2
verdict.act.sources	mvp	verdict	4.11	Источники		draft	
verdict.act.journal	mvp	verdict	4.11	В журнал		draft	
verdict.act.next	mvp	verdict	4.11	Следующее		draft	
verdict.edge.loss100	mvp	verdict	4.11	Убыток при оценке 100		draft	Состояние
verdict.edge.win20	mvp	verdict	4.11	Прибыль при оценке 20		draft	Состояние
verdict.alt	mvp	verdict	4.12	ЧТО БЫЛО БЫ		draft	
verdict.altRow	mvp	verdict	4.12	{text} · качество {q}		draft	{text}: исход ветки
verdict.alt.yours	mvp	verdict	4.12	Ваш выбор		draft	
verdict.alt.best	mvp	verdict	4.12	Идеальный путь		draft	
verdict.alt.worst	mvp	verdict	4.12	Сценарий разрушения		draft	
verdict.threats	mvp	verdict	4.12	УГРОЗЫ В ЭТОЙ СИТУАЦИИ		draft	Стадии — ключи bestiary.stage.*
verdict.depth.full	mvp	verdict	4.12	Разбор полный		draft	
verdict.depth.short	mvp	verdict	4.12	Сжатый (высокий уровень)		draft	
verdict.depth.deep	mvp	verdict	4.12	Расширенный (повторная ошибка)		draft	
